Nombre_producto;Forma_entrega;Transportadora;Numero_seguimiento
Aire Acondicionado Portátil Enfriador Personal Usb ArcticColor : Blanco | Voltaje : 110V/220VTS-27-F;Mercado Envíos Flex;GONZALEZEDISON20220903104007;43322209792
Molino Eléctrico Para Maíz Carne 2500w 6 En 1 Con Embutidor RD-120F;Correo y puntos de despacho;MELI Logistics;MEL43322031247FMDOF01
Lapicero Esfero Bolígrafo Espía De Lujo Hd 1920x1080 P Para Vídeo Fotos Y Audios CI-AD-25;Mercado Envíos Flex;GONZALEZEDISON20220903104007;43321741430
Bolso Impermeable Ocean Pack 5 LitrosColor : ColoresIND-S-15;Correo y puntos de despacho;MELI Logistics;MEL43321325701FMDOF01
Mini Lampara Led-uv De Clip - Press On - Clip Uv LamparaColor : Negro | Voltaje : 6WDTRNK-14-F;Mercado Envíos Flex;GONZALEZEDISON20220903104007;43321449287
Maquina De Obleas Y Conos Moliax MVM-90-F;Correo y puntos de despacho;Envia;MEL43320948385FMDOF01
Grifo Con Sensor Inteligente Dispositivo Ahorro De AguaAcabado : Brillante | Color : PlateadoBUG-85-F;Correo y puntos de despacho;MELI Logistics;MEL43321042564FMDOF01
Licuadora Sokany Industrial Potente 2.5l 9 VelocidadesColor : Negro/Rojo | Voltaje : 110VDSR-E-200;Correo y puntos de despacho;Envia;MEL43309658391FMDOF01
Base Refrigerante Portátil 4 Ventiladores 5 Niveles GamerColor : NegroDRMTCH-45F;Correo y puntos de despacho;MELI Logistics;MEL43324422791FMDOF01
Humidificador Difusor De Aromas Estilo ChimeneaColor : COLORES | Voltaje : 110VZKS-33;Correo y puntos de despacho;MELI Logistics;MEL43324459998FMDOF01
Molino Triturador Eléctrico 2 En 1 Grande Con Licuadora RD-43-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43243126105
Camara Espia Video Grabadora Con Audio Gancho PercheroColor : NegroCM-35-J;Colecta de Mercado Envíos;Envia;MEL43242869724FMXDF01
Palanca Levanta Muebles | De Uso Fácil | 4 Bases Deslizantes LOC-10;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43242671419
Afeitadora Eléctrica Portátil Mini-shave Recargable Por UsbColor : Plateado | Voltaje : 110VRD-9-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43242642720
Espejo Retrovisor Con Camara Táctil Dual 1080p Fullhd M1 Pro CI-AD-120;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43242107353
Correa Portabebes Cargador Para Bebe CanguroColor : Rosa | Nombre del diseño : plano | Talla : unicaZKS-18;Colecta de Mercado Envíos;MELI Logistics;MEL43241811228FMXDF01
Cabina Sonivox Recargable Micrófono Bluetooth Vs-sp1455 400wColor : Negro | Voltaje : 110V/220VPRCH-160;Colecta de Mercado Envíos;MELI Logistics;MEL43241641145FMXDF01
Pesa Gramera Cocina Analoga Mecanica 1000grsColor : RojoZKSO-8-F;Colecta de Mercado Envíos;MELI Logistics;MEL43241549465FMXDF01
Cámara Espia Boligrafo Esfero Con Cámara Full Hd 1080pColor : NegroCM-25;Colecta de Mercado Envíos;MELI Logistics;MEL43241522805FMXDF01
Balde Plegable 10ltsen SiliconaColor : ColoresFAK-18-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43240323945
Correa Portabebes Cargador Para Bebe CanguroColor : Gris | Nombre del diseño : plano | Talla : UNICAZKS-18;Colecta de Mercado Envíos;Envia;MEL43239957841FMXDF01
Perchero Doble Portatil Organizador Y Zapatero 180 Cm Yx9112Color : COLORESELH-S-50;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43239789198
Organizador Cosmetiquera Bolso Maquillaje Neceser Viaje YanuColor : RosaDG-14;Colecta de Mercado Envíos;MELI Logistics;MEL43238800632FMXDF01
Lámpara Led Panel Solar Y Sensor De Movimiento Tipo CámaraColor : Blanco | Voltaje : 110VDG-20;Colecta de Mercado Envíos;MELI Logistics;MEL43237330295FMXDF01
Máquina Patillera Vgr Recargable Color Plateado 110v IRB-E-30;Colecta de Mercado Envíos;MELI Logistics;MEL43246473782FMXDF01
Guante Masajeador Con Balines Relajante Corporal Derma TerapColor : COLORES | Voltaje : 0ZKSO-4.5-F;Colecta de Mercado Envíos;MELI Logistics;MEL43246167217FMXDF01
Mini Licuadora Portatil Recargable Tipo Botella 350 Ml RosaColor : COLORES | Voltaje : 1ELH-S-18;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43245999041
Tapete Extra Grande Plegable Para Bebé 200x180 Cm Doble Faz ROMAN-AD-85;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43246019338
Molinillo De Café Eléctrico Especias Pulverizador DomésticoColor : Plateado | Voltaje : 0MVM-25-F;Colecta de Mercado Envíos;MELI Logistics;MEL43245896626FMXDF01
Lavador De Vasos Tazas Copas De Lavaplatos Automático Lavado VLZ-11-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43245931080
Cepillo Exfoliante Para Cuerpo - Unidad a $18900 DG-10;Colecta de Mercado Envíos;MELI Logistics;MEL43245524031FMXDF01
Tijeras Profesionales Costura Con Guia Láser Corte RectoColor : NegroZKSO-9-F;Colecta de Mercado Envíos;MELI Logistics;MEL43245325381FMXDF01
Mini Proyector Led Video Beam Yg300 Hdmi Usb Av 600 LumenesColor : Amarillo | Voltaje : 110VRC-AD-78;Colecta de Mercado Envíos;Coordinadora;MEL43245254598FMXDF01
Soporte North Bayou Nbc3-t De Pared Para Tv/monitor De 40 A 65 Negro IND-S-25;Colecta de Mercado Envíos;MELI Logistics;MEL43245040008FMXDF01
Almohada Ergonómica Relajante Para Cuello Tipo NubeColor : COLORESFAK-25-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43245194648
Espejo Retrovisor Auxiliar Punto Ciego Carro FAK-5-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43244688723
Interruptor Inteligente De Luz Wifi Doble Alexa Google TactiColor : BlancoCM-45;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43244777938
Set Kit De Marcadores Plumones Doble Punta 168 Piezas BUG-65;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43244472992
Protector Sofa, Forro, Funda, Mueble, Doble Faz 3 Puestos Color Caqui Liso VTV-E-35;Colecta de Mercado Envíos;MELI Logistics;MEL43244046146FMXDF01
Extensor De Extensión De Grifo Ajustable Giratorio De 360Color : NaranjaDTRNK-6-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43243820167
Tendedero 4141-1 Retráctil EstirableColor : BlancoEH-70;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43247051427
Funda Forro Protector Sofá Mueble Sillon 1 Puesto Sobreponer Color Marrón Rayado BGTH-15-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43246789017
Esquinero Organizador De Ducha Multiuso 4 Repisas Ajustable Color Blanco IND-S-40;Colecta de Mercado Envíos;MELI Logistics;MEL43246658847FMXDF01
Manguera Magic Hose Expandible 45 Metros Con PistolaColor : COLORESGT-30;Colecta de Mercado Envíos;MELI Logistics;MEL43246669738FMXDF01
Reproductor De Películas Para Conferencias Led Full Hd Con Miniproyector De Primera Calidad CI-AD-150;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43246487085
Casco De Seguridad Para Bebe Protector De Cabeza AntigolpeColor : COLORES | Nombre del diseño : Protector de cabeza para bebe casco de seguridad antigolpeFAK-20-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43246472527
